,CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,% CN1,% CN2,% CN3,% CN4,% CN5,% CN6,% CN7,% CN8,% CN9,% CN10,% CN11,% CN12,% CN13,% CN14,% CN15,% CN16,% CN17,% CN18,% CN19,% CN20,% CN21,% CN22,% CN23,% CN24,Status
TCGA-A8-A07P,21,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,26.582278481012658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.93801702433761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.331434609105715,0.0,0.0,0.0,0.0,Cogain
TCGA-E9-A22B,0,39,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.0,35.77981651376147,0.0,0.0,22.793232368037515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.079922903413124,0.0,0.0,0.0,0.0,Cogain
TCGA-AR-A24H,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0.0,24.56140350877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.96393648515296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E9-A295,0,45,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.42857142857143,0.0,0.0,0.0,0.0,13.39001062699256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-EW-A1P3,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-BH-A0H7,0,0,0,0,0,0,76,0,0,210,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.839080459770116,0.0,0.0,56.78145201392342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.532821390593307,0.0,0.0,0.0,Cogain
TCGA-A8-A07G,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,31,0,0,29.807692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.388329979879273,0.0,18.76558501271629,0.0,Cogain
TCGA-BH-A1EW,0,30,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,30,43,0,0,0,0,0.0,23.80952380952381,0.0,0.0,0.0,0.0,0.0,15.352828989192627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.163945652046408,23.455445488934473,0.0,0.0,0.0,Cogain
TCGA-E2-A56Z,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,46,0,0,0,0,0.0,17.92828685258964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.49541488274248,14.006297279077067,0.0,0.0,0.0,Cogain
TCGA-A8-A093,0,42,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.77777777777777,0.0,0.0,0.0,0.0,0.0,9.106239460370995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A8-A09M,29,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.576271186440678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.422729434141694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
